fault_num,repeat_num,LOSS
fault1,repeat0,0.08726766395767926
fault1,repeat1,0.0763296682622071
fault1,repeat2,0.08518423620616078
fault1,repeat3,0.07424624051068851
fault1,repeat4,0.08310080845464207
fault1,repeat5,0.07945480988948472
fault1,repeat6,0.09039280558495677
fault1,repeat7,0.0831008084546423
fault1,repeat8,0.07997566682736434
fault1,repeat9,0.07945480988948495
fault1,repeat10,0.08414252233040154
fault1,repeat11,0.08205909457888283
fault1,repeat12,0.07528795438644775
fault1,repeat13,0.08257995151676267
fault1,repeat14,0.076329668262207
fault1,repeat15,0.07841309601372548
fault1,repeat16,0.08414252233040131
fault1,repeat17,0.08257995151676267
fault1,repeat18,0.07841309601372548
fault1,repeat19,0.08414252233040131
fault1,repeat20,0.08570509314404018
fault1,repeat21,0.08778852089555866
fault1,repeat22,0.08935109170919775
fault1,repeat23,0.09143451946071601
fault1,repeat24,0.07945480988948472
fault1,repeat25,0.08153823764100343
fault1,repeat26,0.07789223907584608
fault1,repeat27,0.08883023477131813
fault1,repeat28,0.0784130960137257
fault1,repeat29,0.08101738070312359
fault1,repeat30,0.08101738070312381
fault1,repeat31,0.08674680701979942
fault1,repeat32,0.0857050931440404
fault1,repeat33,0.0831008084546423
fault1,repeat34,0.08049652376524397
fault1,repeat35,0.08205909457888283
fault1,repeat36,0.08101738070312359
fault1,repeat37,0.08257995151676245
fault1,repeat38,0.08466337926828094
fault1,repeat39,0.0789339529516051
fault1,repeat40,0.0789339529516051
fault1,repeat41,0.07893395295160532
fault1,repeat42,0.08049652376524397
fault1,repeat43,0.08101738070312381
fault1,repeat44,0.08518423620616078
fault1,repeat45,0.08362166539252192
fault1,repeat46,0.08101738070312381
fault1,repeat47,0.07737138213796624
fault1,repeat48,0.08049652376524397
fault1,repeat49,0.08830937783343851
fault1,repeat50,0.08414252233040131
fault1,repeat51,0.08622595008192002
fault1,repeat52,0.08570509314404018
fault1,repeat53,0.07997566682736434
fault1,repeat54,0.08466337926828116
fault1,repeat55,0.08466337926828094
fault1,repeat56,0.07320452663492938
fault1,repeat57,0.08414252233040131
fault1,repeat58,0.07945480988948495
fault1,repeat59,0.0763296682622071
fault1,repeat60,0.08726766395767926
fault1,repeat61,0.08310080845464207
